model,metric_type,score,iteration
lr-tfidf,f1,0.6630434782608695,3
lf-bow,f1,0.6597938144329897,3
nb-tfidf,f1,0.6804123711340206,3
nb-bow,f1,0.6804123711340206,3
knn-tfidf,f1,0.3108108108108108,3
knn-bow,f1,0.5088757396449705,3
svm-tfidf,f1,0.6594594594594594,3
svm-bow,f1,0.6629213483146067,3
t5,precision,0.7872340425531915,3
rf-tfidf,precision,0.7692307692307693,3
rf-bow,precision,0.7,3
lr-tfidf,precision,0.7011494252873564,3
lf-bow,precision,0.6597938144329897,3
nb-tfidf,precision,0.6804123711340206,3
nb-bow,precision,0.6804123711340206,3
knn-tfidf,precision,0.45098039215686275,3
knn-bow,precision,0.5972222222222222,3
svm-tfidf,precision,0.6931818181818182,3
svm-bow,precision,0.7283950617283951,3
t5,recall,0.7628865979381443,3
rf-tfidf,recall,0.41237113402061853,3
rf-bow,recall,0.28865979381443296,3
lr-tfidf,recall,0.6288659793814433,3
lf-bow,recall,0.6597938144329897,3
nb-tfidf,recall,0.6804123711340206,3
nb-bow,recall,0.6804123711340206,3
knn-tfidf,recall,0.23711340206185566,3
knn-bow,recall,0.44329896907216493,3
svm-tfidf,recall,0.6288659793814433,3
svm-bow,recall,0.6082474226804123,3
t5,accuracy,0.812,4
rf-tfidf,accuracy,0.724,4
rf-bow,accuracy,0.708,4
lr-tfidf,accuracy,0.732,4
lf-bow,accuracy,0.732,4
nb-tfidf,accuracy,0.724,4
nb-bow,accuracy,0.724,4
knn-tfidf,accuracy,0.612,4
knn-bow,accuracy,0.644,4
svm-tfidf,accuracy,0.752,4
svm-bow,accuracy,0.78,4
t5,f1,0.7614213197969544,4
rf-tfidf,f1,0.5241379310344828,4
rf-bow,f1,0.5034013605442177,4
lr-tfidf,f1,0.6214689265536725,4
lf-bow,f1,0.6378378378378378,4
nb-tfidf,f1,0.6532663316582915,4
nb-bow,f1,0.6532663316582915,4
knn-tfidf,f1,0.28148148148148144,4
knn-bow,f1,0.47953216374269003,4
svm-tfidf,f1,0.6516853932584269,4
svm-bow,f1,0.6745562130177515,4
t5,precision,0.7653061224489796,4
rf-tfidf,precision,0.8260869565217391,4
rf-bow,precision,0.7708333333333334,4
lr-tfidf,precision,0.7051282051282052,4
lf-bow,precision,0.686046511627907,4
nb-tfidf,precision,0.65,4
nb-bow,precision,0.65,4
knn-tfidf,precision,0.5277777777777778,4
knn-bow,precision,0.5694444444444444,4
svm-tfidf,precision,0.7341772151898734,4
svm-bow,precision,0.8142857142857143,4
t5,recall,0.7575757575757576,4
rf-tfidf,recall,0.3838383838383838,4
rf-bow,recall,0.37373737373737376,4
lr-tfidf,recall,0.5555555555555556,4
lf-bow,recall,0.5959595959595959,4
nb-tfidf,recall,0.6565656565656566,4
nb-bow,recall,0.6565656565656566,4
knn-tfidf,recall,0.1919191919191919,4
knn-bow,recall,0.41414141414141414,4
svm-tfidf,recall,0.5858585858585859,4
svm-bow,recall,0.5757575757575758,4
t5,accuracy,0.824,5
rf-tfidf,accuracy,0.752,5
rf-bow,accuracy,0.736,5
lr-tfidf,accuracy,0.744,5
lf-bow,accuracy,0.692,5
nb-tfidf,accuracy,0.736,5
nb-bow,accuracy,0.736,5
knn-tfidf,accuracy,0.604,5
knn-bow,accuracy,0.696,5
svm-tfidf,accuracy,0.748,5
svm-bow,accuracy,0.744,5
t5,f1,0.752808988764045,5
rf-tfidf,f1,0.5303030303030303,5
rf-bow,f1,0.4923076923076923,5
